code,1,2,3,4,5,6,7,8,9,10
14,3174.328290108158,3375.2968382192817,3480.654962512833,3650.6175271950483,3988.5723766760334,4284.840251781029,4620.928520319808,5085.603475988511,5611.460806985161,6440.119046384536
15,2058.5238648265445,2237.928651329149,2328.272284881691,2382.848959409489,2423.033351620557,2468.3476662415483,2672.974571259609,2974.642508532059,3269.4705492579424,3637.684980014677
16,412.039799870785,461.6252949194255,498.679603233868,525.2826963826983,551.6803602408042,576.1264458370267,614.5160445411789,653.9071110376127,694.8645758758223,790.1580881106772
17,4787.67383020123,4864.1373608270505,4898.950025177016,4914.802220550661,4961.115497230529,5155.693424758021,6631.812558668665,7721.262456406463,8280.75170488807,8889.351676291953
18,1687.9218317510924,1864.8499316609439,2027.1717147683746,2162.329714139179,2254.5940501399828,2356.045164582127,2636.671504596033,3063.030552977971,3515.95855771544,4212.633604838987
19,3793.5826668378254,3961.0204776442615,4064.8319203442516,4158.96917841987,4305.942367905522,4655.329266454951,5635.770669732639,6579.3757546329125,7222.7090321536425,8145.663453721119
20,750.8102055629128,786.1620995684704,811.2146228794952,834.7361586548465,855.4740807289728,891.1043361046527,1111.0098185014276,1424.8622633145462,1573.228873589839,1760.42689499722
21,1581.246948908999,1738.096379141869,1851.3268844472132,1966.5880659596123,2093.7896235694902,2217.254736958388,2379.221471233035,2573.9227059653963,2758.6330137590503,3071.8445119350963
22,1659.6881808278868,1852.405024509804,2005.7615059912855,2113.2472086056646,2197.3720043572985,2315.197780501089,2641.9951661220043,2996.791598583878,3305.0789760348584,3768.510008169935
23,601.0793408311353,685.8668456050058,756.1275078434243,811.8970200341936,864.2222071520607,925.7382098789667,1053.820702356775,1195.1094153213573,1319.0158867263208,1454.932880276688
24,1961.9349507404322,2175.145671975323,2321.712833352512,2445.439713651709,2555.3303201776325,2698.8382049416355,3163.361547048373,3652.567689102405,4034.455798146148,4562.841539553144
25,1899.4927960096961,2109.8912357680483,2214.1756798221886,2275.85770688178,2319.7669464835235,2450.6582988201485,2852.3232953675238,3255.9746622778334,3602.6485635144536,3985.1294041882093
26,1516.9205698342614,1689.7004078304008,1801.0664575741412,1892.4016147541627,1957.8501460719813,2041.6871081746758,2306.516217167725,2686.06771084389,3065.2621476116105,3490.58833695032
27,3351.8732938744347,3683.499686065368,3812.461322801592,3891.208475181096,3957.082049112325,4184.138847942711,4927.795034562923,5660.836165269645,6324.540654158467,7087.695418662322
28,2439.9316653808,2631.934911776199,2741.27531236536,2792.8769676262236,2847.985531497049,3017.1938719276977,3470.086069557028,3996.1223610512707,4446.259130487058,4980.561706561927
29,4434.784264970201,4905.595362190354,5167.580353030403,5362.6405593630625,5522.636680669213,5813.105829469068,6400.883788098644,7060.7812104987925,7744.574157509602,8693.55548090609
30,2403.9964069290445,2780.3057255231874,3018.3368484364837,3223.8377064099363,3367.9143481072497,3552.28527568171,4264.1182332626395,5139.093909272993,5839.231696074941,6513.522172667896
31,1771.1739519806745,2029.065551050536,2211.9188889949905,2372.447860344957,2502.5873037584947,2633.9526516960073,2877.0688751874345,3167.608247369468,3477.310442899948,4030.1933832125924
32,2401.191760075707,2716.4730772216267,2943.561506281679,3152.235128185225,3326.7216193139116,3673.712738917672,4468.1093525750175,5002.221337724261,5411.393398085191,6300.836841505489
