code,1,2,3,4,5,6,7,8,9,10
63,8594.0,7926.0,6924.0,5583.0,3103.0,2747.0,8523.0,13425.0,14593.0,27339.0
64,7596.0,6075.0,5079.0,4072.0,3575.0,3424.0,6661.0,7501.0,7700.0,12319.0
65,3797.0,1743.0,455.0,521.0,445.0,1541.0,2805.0,3057.0,2309.0,1875.0
66,11492.0,6870.0,4647.0,3503.0,3024.0,4593.0,13160.0,15642.0,14828.0,17909.0
67,5147.0,3668.0,1877.0,1251.0,1581.0,3406.0,6701.0,3864.0,4359.0,11530.0
68,4741.0,3571.0,3017.0,2036.0,1267.0,1895.0,2809.0,2770.0,2798.0,4811.0
69,6567.0,4465.0,3525.0,2421.0,2170.0,3636.0,7576.0,6765.0,5856.0,9746.0
70,3634.0,1944.0,1077.0,707.0,707.0,1293.0,2938.0,3498.0,2738.0,4196.0
71,5870.0,3942.0,3078.0,2171.0,1583.0,2585.0,4481.0,3814.0,3160.0,5338.0
72,4706.0,2938.0,2211.0,1492.0,1584.0,2269.0,7303.0,8064.0,6610.0,8782.0
73,7190.0,3730.0,3038.0,2487.0,2438.0,2795.0,6676.0,8425.0,8459.0,12331.0
74,8814.0,6732.0,4368.0,3357.0,2842.0,3043.0,8359.0,11114.0,10698.0,12678.0
75,6745.0,4194.0,2324.0,1203.0,855.0,3485.0,9310.0,7189.0,4964.0,7768.0
76,5638.0,4501.0,3150.0,2451.0,2344.0,2700.0,5760.0,5849.0,5538.0,7243.0
77,114396.0,46367.0,46167.0,63920.0,83951.0,174576.0,140314.0,58928.0,65153.0,179478.0
78,88246.0,31219.0,26511.0,20399.0,23212.0,29146.0,57462.0,45706.0,43062.0,85556.0
79,404.0,144.0,105.0,34.0,28.0,222.0,993.0,1192.0,1008.0,1205.0
83,121.0,103.0,59.0,11.0,10.0,98.0,367.0,339.0,350.0,456.0
86,6142.0,3624.0,2606.0,1765.0,1432.0,2350.0,5328.0,5003.0,4492.0,6773.0
87,94.0,58.0,39.0,16.0,18.0,52.0,338.0,320.0,345.0,511.0
89,3342.0,1425.0,849.0,533.0,535.0,977.0,3450.0,3809.0,2789.0,3616.0
