,0
1011,4195
1012,4196
1013,4198
1014,4199
1015,4202
1016,4203
1017,4210
1018,4211
1019,4212
1020,4215
1021,4216
1022,4217
1023,4218
1024,4219
1025,4220
1026,4224
1027,4225
1028,4226
1029,4230
1030,4231
1031,4232
1032,4234
1033,4237
1034,4239
1035,4240
1036,4243
1037,4247
1038,4248
1039,4249
1040,4251
1041,4252
1042,4257
1043,4258
1044,4260
1045,4268
1046,4271
1047,4272
1048,4274
1049,4280
1050,4282
1051,4285
1052,4290
1053,4294
1054,4295
1055,4296
1056,4299
1057,4300
1058,4302
1059,4303
1060,4306
1061,4308
1062,4309
1063,4313
1064,4315
1065,4317
1066,4324
1067,4325
1068,4329
1069,4331
1070,4333
1071,4335
1072,4337
1073,4338
1074,4340
1075,4346
1076,4354
1077,4355
1078,4356
1079,4359
1080,4360
1081,4361
1082,4362
1083,4363
1084,4365
1085,4369
1086,4371
1087,4372
1088,4373
1089,4375
1090,4377
1091,4379
1092,4381
1093,4383
1094,4385
1095,4390
1096,4392
1097,4393
1098,4400
1099,4404
1100,4405
1101,4407
1102,4408
1103,4412
1104,4413
1105,4416
1106,4417
1107,4424
1108,4426
1109,4441
1110,4454
1111,4455
1112,4457
1113,4459
1114,4460
1115,4463
1116,4465
1117,4470
1118,4474
1119,4476
1120,4485
1121,4486
1122,4490
1123,4501
1124,4502
1125,4503
1126,4506
1127,4507
1128,4512
1129,4516
1130,4517
1131,4520
1132,4522
1133,4523
1134,4529
1135,4530
1136,4531
1137,4532
1138,4543
1139,4544
1140,4549
1141,4551
1142,4557
1143,4559
1144,4561
1145,4565
1146,4567
1147,4568
1148,4569
1149,4571
1150,4577
1151,4582
1152,4588
1153,4589
1154,4590
1155,4591
1156,4594
1157,4597
1158,4603
1159,4615
1160,4619
1161,4635
1162,4637
1163,4645
1164,4648
1165,4649
1166,4658
1167,4660
1168,4662
1169,4663
1170,4665
1171,4667
1172,4669
1173,4671
1174,4675
1175,4677
1176,4687
1177,4690
1178,4695
1179,4697
1180,4698
1181,4700
1182,4701
1183,4703
1184,4708
1185,4709
1186,4715
1187,4719
1188,4720
1189,4725
1190,4726
1191,4727
1192,4732
1193,4733
1194,4736
1195,4737
1196,4742
1197,4747
1198,4748
1199,4749
1200,4752
1201,4753
1202,4758
1203,4763
1204,4769
1205,4770
1206,4773
1207,4777
1208,4783
1209,4784
1210,4790
1211,4792
1212,4794
1213,4795
1214,4809
1215,4810
1216,4813
1217,4814
1218,4826
1219,4828
1220,4830
1221,4834
1222,4837
1223,4839
1224,4842
1225,4847
1226,4848
1227,4850
1228,4851
1229,4856
1230,4863
1231,4864
1232,4865
1233,4866
1234,4868
1235,4871
1236,4874
1237,4875
1238,4878
1239,4880
1240,4882
1241,4885
1242,4889
1243,4890
1244,4892
1245,4894
1246,4896
1247,4898
1248,4899
1249,4902
1250,4903
1251,4923
1252,4927
1253,4928
1254,4930
1255,4931
1256,4936
1257,4938
1258,4942
1259,4944
1260,4949
1261,4950
1262,4957
1263,4961
1264,4963
1265,4969
1266,4976
1267,4977
1268,4981
1269,4987
1270,4988
1271,4989
1272,4995
1273,4997
1274,4998
1275,4999
1276,5001
1277,5002
1278,5003
1279,5006
1280,5011
1281,5015
1282,5019
1283,5020
1284,5022
1285,5023
1286,5026
1287,5027
1288,5028
1289,5037
1290,5039
1291,5042
1292,5043
1293,5046
1294,5048
1295,5052
1296,5053
1297,5056
1298,5058
1299,5061
1300,5066
1301,5067
1302,5068
1303,5069
1304,5070
1305,5072
1306,5082
1307,5083
1308,5084
1309,5087
1310,5088
1311,5091
1312,5092
1313,5093
1314,5094
1315,5095
1316,5097
1317,5098
1318,5099
1319,5100
1320,5106
1321,5107
1322,5108
1323,5111
1324,5112
1325,5113
1326,5119
1327,5120
1328,5121
1329,5130
1330,5131
1331,5140
1332,5144
1333,5146
1334,5150
1335,5151
1336,5152
1337,5154
1338,5163
1339,5166
1340,5178
1341,5179
1342,5181
1343,5182
1344,5184
1345,5185
1346,5186
1347,5188
1348,5190
1349,5191
1350,5193
1351,5195
1352,5196
1353,5199
1354,5201
1355,5206
1356,5207
1357,5209
1358,5235
1359,5237
1360,5239
1361,5240
1362,5241
1363,5243
1364,5244
1365,5246
1366,5253
1367,5258
1368,5263
1369,5265
1370,5267
1371,5268
1372,5269
1373,5270
1374,5272
1375,5273
1376,5275
1377,5280
1378,5281
1379,5282
1380,5283
1381,5285
1382,5286
1383,5287
1384,5289
1385,5290
1386,5291
1387,5292
1388,5293
1389,5296
1390,5297
1391,5302
1392,5303
1393,5305
1394,5310
1395,5311
1396,5315
1397,5322
1398,5323
1399,5326
1400,5330
1401,5335
1402,5341
1403,5345
1404,5346
1405,5355
1406,5364
1407,5365
1408,5366
1409,5369
1410,5374
1411,5375
1412,5377
1413,5380
1414,5382
1415,5385
1416,5387
1417,5389
1418,5392
1419,5393
1420,5400
1421,5406
1422,5410
1423,5416
1424,5417
1425,5419
1426,5421
1427,5425
1428,5426
1429,5427
1430,5430
1431,5436
1432,5440
1433,5445
1434,5446
1435,5447
1436,5448
1437,5449
1438,5451
1439,5453
1440,5455
1441,5456
1442,5459
1443,5461
1444,5466
1445,5467
1446,5469
1447,5473
1448,5474
1449,5477
1450,5480
1451,5482
1452,5483
1453,5484
1454,5493
1455,5495
1456,5496
1457,5506
1458,5509
1459,5516
1460,5518
1461,5519
1462,5520
1463,5526
1464,5527
1465,5530
1466,5532
1467,5533
1468,5535
1469,5536
1470,5539
1471,5544
1472,5546
1473,5549
1474,5558
1475,5560
1476,5564
1477,5565
1478,5567
1479,5568
1480,5572
1481,5577
1482,5578
1483,5580
1484,5584
1485,5585
1486,5586
1487,5598
1488,5603
1489,5604
1490,5605
1491,5608
1492,5609
1493,5613
1494,5618
1495,5623
1496,5626
1497,5628
1498,5629
1499,5636
1500,5641
1501,5650
1502,5651
1503,5652
1504,5657
1505,5658
1506,5659
1507,5661
1508,5663
1509,5664
1510,5665
1511,5666
1512,5667
1513,5669
1514,5670
1515,5672
1516,5675
1517,5678
1518,5679
1519,5686
1520,5692
1521,5693
1522,5694
1523,5695
1524,5697
1525,5698
1526,5701
1527,5707
1528,5709
1529,5714
1530,5717
1531,5720
1532,5732
1533,5733
1534,5734
1535,5736
1536,5738
1537,5739
1538,5742
1539,5748
1540,5749
1541,5753
1542,5758
1543,5759
1544,5760
1545,5766
1546,5767
1547,5775
1548,5777
1549,5778
1550,5780
1551,5783
1552,5784
1553,5790
1554,5793
1555,5795
1556,5798
1557,5800
1558,5804
1559,5808
1560,5811
1561,5812
1562,5817
1563,5825
1564,5827
1565,5830
1566,5832
1567,5835
1568,5836
1569,5841
1570,5844
1571,5845
1572,5846
1573,5848
1574,5854
1575,5855
1576,5857
1577,5858
1578,5859
1579,5860
1580,5865
1581,5872
1582,5873
1583,5879
1584,5880
1585,5882
1586,5883
1587,5884
1588,5886
1589,5887
1590,5891
1591,5893
1592,5895
1593,5896
1594,5899
1595,5905
1596,5907
1597,5915
1598,5916
1599,5917
1600,5924
1601,5936
1602,5940
1603,5945
1604,5949
1605,5952
1606,5953
1607,5958
1608,5959
1609,5961
